r5^t,r6^t,r10^t,r11^t,r15^t,r16^t,c3a^t,c3b^t,c3a^t+1,
0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5714285714285714
0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.42857142857142855
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875000000000001
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3125
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2727272727272727
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7272727272727273
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8356164383561644
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16438356164383564
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2857142857142857
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7142857142857142
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.873015873015873
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.126984126984127
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.38461538461538464
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6153846153846154
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8437499999999999
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.15625
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5
0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.29508196721311475
0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7049180327868853
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1904761904761905
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1935483870967742
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8064516129032259
